09:07:07,Nawaz shareef is a corrupt politician,neither,0.0495192247997867,not applicable
09:07:08,Nawaz shareef is a corrupt politician,neither,0.0495192247997867,not applicable
09:12:34,Niggers are the worst,hate_speech,0.8206694909545892,not applicable
09:12:36,Niggers are the worst,hate_speech,0.8206694909545892,not applicable
11:07:02,imran khan is a good person ,neither,0.046566478382910025,not applicable
love you,Hate Speech,0.88
hate you,Not Hate Speech,0.23
love you,Hate Speech,0.88
i love imran khan,Hate Speech,0.50
 imran khan is good person,Hate Speech,0.83
 imran khan is good person,Hate Speech,0.83
 imran khan is good person,Hate Speech,0.83
 imran khan is good person,Hate Speech,0.83
 imran khan is good person,Hate Speech,0.83
imran khan is a good person,Hate Speech,0.83
hello,Predicted Sentiment: Positive
hello,Predicted Sentiment: Positive
hello,Predicted Sentiment: Positive
hello,Predicted Sentiment: Positive
hello,Predicted Sentiment: Positive
bye,Predicted Sentiment: Positive
bad,Predicted Sentiment: Neutral
bad,Predicted Sentiment: Neutral
hello,Predicted Sentiment: Positive
hello,Predicted Sentiment: Positive
hello,Predicted Sentiment: Positive
imran khan is a shit person,Neutral
imran khan is a shit person,Neutral
imran khan is a good person,Positive
imran khan is a good person,Positive
imran khan is a good person,Positive
imran khan is a shit person,Neutral
imran khan is a shit person,Neutral
imran khan is a good person,Positive
imran khan is a shit person,Neutral
imran khan is a shit person,Neutral
imran khan is a shit person,Neutral
imran khan is a shit person,Neutral
imran khan is a good person,Positive
imran khan is a shit person,Neutral
imran khan is a good person,Positive
imran khan is a shit person,Neutral
imran khan is a good person,Positive
shut up,Positive
shut up,Positive
shut up,Positive
bithc,Positive
imran khan is a bad person,Neutral
imran khan is a nigga,Neutral
imran khan is a nigga,Neutral
imran khan is a nigga,Neutral
imran khan is a nigga,Neutral
imran khan is a good person,Positive
imran khan is a shit person,Neutral
imran khan is a shit person,Neutral
imran khan is a shit person,Negative
imran khan is a shit person,Negative
imran khan is a shit person,Hate
Politicians are all corrupt and should be thrown out of office,Neutral
Politicians are nothing but thieves stealing from the people they're supposed to serve,Neutral
Politicians are nothing but thieves stealing from the people they're supposed to serve,Neutral
Politicians are nothing but thieves stealing from the people they're supposed to serve,Neutral
Politicians are nothing but thieves stealing from the people they're supposed to serve,Neutral
they all are assholes,Hate
fuck this shit,Hate
imran khan is a shit person,Hate
Politicians are all corrupt and should be thrown out of office,Neutral
imran khan is a shit person,Hate
bad,Hate
bad,Hate
my name is javeria,Neutral
my name is jaffer,Neutral
imran khan is a good person,Not-Hate
imran khan is a shit person,Hate
imran khan is a shit person,Hate
imran khan is a shit person,Hate
